"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","Tenure","MonthlySpend","TotalSpend","Attrition"
"156","6551-GNYDG","Female","No","Yes","Yes",14,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",80.9,1152.8,"No","12-18","80-95","1000-2000",0
"157","9167-APMXZ","Female","No","No","No",22,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",84.15,1821.95,"No","19-24","80-95","1000-2000",0
"158","2749-CTKAJ","Male","No","Yes","Yes",22,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.15,419.9,"No","19-24","15-30","<1000",0
"159","6371-NZYEG","Male","No","Yes","Yes",16,"Yes","No","DSL","Yes","No","Yes","No","Yes","No","Two year","No","Mailed check",64.25,1024,"No","12-18","45-70","1000-2000",0
"160","7554-NEWDD","Male","No","No","No",10,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",25.7,251.6,"No","7-11","15-30","<1000",0
"161","8992-VONJD","Female","No","No","Yes",13,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",56,764.55,"No","12-18","45-70","<1000",0
"162","0867-MKZVY","Female","No","Yes","No",20,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",82.4,1592.35,"Yes","19-24","80-95","1000-2000",1
"163","4482-EWFMI","Female","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,135.2,"No","< 3","45-70","<1000",0
"164","4648-YPBTM","Male","No","No","No",53,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",73.9,3958.25,"No","25-60","70-80","2000-4000",0
"165","2907-ILJBN","Female","No","Yes","Yes",11,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.6,233.9,"No","7-11","15-30","<1000",0
"166","6345-FZOQH","Male","No","Yes","No",69,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.9,1363.45,"No","60+","15-30","1000-2000",0
"167","3376-BMGFE","Female","No","No","No",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",70.9,273,"Yes","3-6","70-80","<1000",1
"168","5997-OPVFA","Male","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",89.05,6254.45,"No","60+","80-95","6000+",0
"170","1159-WFSGR","Female","No","Yes","Yes",16,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",20.4,321.4,"No","12-18","15-30","<1000",0
"171","7654-YWJUF","Male","No","Yes","No",43,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",84.25,3539.25,"No","25-60","80-95","2000-4000",0
"172","1875-QIVME","Female","No","Yes","No",2,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.4,242.8,"Yes","< 3","95+","<1000",1
"173","6727-IOTLZ","Male","No","Yes","No",14,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",81.95,1181.75,"No","12-18","80-95","1000-2000",0
"174","0691-JVSYA","Female","No","Yes","No",53,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",94.85,5000.2,"Yes","25-60","80-95","4000-6000",1
"175","5918-VUKWP","Female","No","No","No",32,"Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",20.55,654.55,"No","25-60","15-30","<1000",0
"176","1744-JHKYS","Female","No","Yes","No",34,"Yes","Yes","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",24.7,780.2,"No","25-60","15-30","<1000",0
"177","2656-FMOKZ","Female","Yes","No","No",15,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.45,1145.7,"Yes","12-18","70-80","1000-2000",1
"178","2070-FNEXE","Female","Yes","No","No",7,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",76.45,503.6,"Yes","7-11","70-80","<1000",1
"179","5947-SGKCL","Female","No","Yes","Yes",15,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",105.35,1559.25,"No","12-18","95+","1000-2000",0
"180","3712-PKXZA","Male","No","Yes","No",61,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",20.55,1252,"No","60+","15-30","1000-2000",0
"182","6582-OIVSP","Female","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.3,45.3,"No","< 3","45-70","<1000",0
"183","9367-WXLCH","Male","No","No","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",84.5,662.65,"Yes","7-11","80-95","<1000",1
"184","5524-KHNJP","Male","No","Yes","Yes",33,"Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",74.75,2453.3,"No","25-60","70-80","2000-4000",0
"185","1918-ZBFQJ","Female","No","No","No",13,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",79.25,1111.65,"Yes","12-18","70-80","1000-2000",1
"187","4827-USJHP","Male","No","No","No",20,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",51.8,1023.85,"No","19-24","45-70","1000-2000",0
"189","0956-SYCWG","Female","No","No","No",13,"Yes","No","No","No","No","No","No","No","No","One year","No","Electronic check",19.65,244.8,"No","12-18","15-30","<1000",0
"190","8017-UVSZU","Female","No","Yes","No",40,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",56.6,2379.1,"No","25-60","45-70","2000-4000",0
"191","7100-FQPRV","Male","No","Yes","Yes",43,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","One year","Yes","Credit card (automatic)",71.9,3173.35,"No","25-60","70-80","2000-4000",0
"192","2472-OVKUP","Male","No","Yes","No",6,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",91,531,"Yes","3-6","80-95","<1000",1
"193","2984-RGEYA","Female","No","Yes","Yes",69,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.75,1375.4,"No","60+","15-30","1000-2000",0
"194","9680-NIAUV","Female","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",109.7,8129.3,"No","60+","95+","6000+",0
"195","2146-EGVDT","Male","No","Yes","Yes",59,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.3,1192.7,"No","25-60","15-30","1000-2000",0
"196","2604-IJPDU","Female","No","Yes","No",20,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",96.55,1901.65,"No","19-24","95+","1000-2000",0
"197","9178-JHUVJ","Male","No","Yes","Yes",24,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",24.1,587.4,"No","19-24","15-30","<1000",0
"198","6168-YBYNP","Male","No","No","No",59,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",111.35,6519.75,"No","25-60","95+","6000+",0
"199","7255-SSFBC","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",112.25,8041.65,"No","60+","95+","6000+",0
"200","3645-DEYGF","Male","No","No","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.75,20.75,"No","< 3","15-30","<1000",0
"201","9323-HGFWY","Female","No","Yes","No",27,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",101.9,2681.15,"No","25-60","95+","2000-4000",0
"202","8544-GOQSH","Female","No","No","No",14,"Yes","No","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",80.05,1112.3,"No","12-18","80-95","1000-2000",0
"203","3363-DTIVD","Male","No","Yes","Yes",71,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Electronic check",105.55,7405.5,"No","60+","95+","6000+",0
"204","7018-WBJNK","Male","No","No","Yes",13,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",78.3,1033.95,"No","12-18","70-80","1000-2000",0
"205","9142-KZXOP","Male","No","No","No",44,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",68.85,2958.95,"No","25-60","45-70","2000-4000",0
"206","7674-YTAFD","Female","No","No","No",33,"Yes","No","Fiber optic","No","Yes","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",79.95,2684.85,"No","25-60","70-80","2000-4000",0
"208","1285-OKIPP","Male","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",79.9,79.9,"Yes","< 3","70-80","<1000",1
"209","7825-ECJRF","Female","No","No","No",19,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",106.6,1934.45,"Yes","19-24","95+","1000-2000",1
"210","1347-KTTTA","Male","No","Yes","No",64,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",102.45,6654.1,"No","60+","95+","6000+",0
"211","7841-TZDMQ","Male","No","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",46,84.5,"Yes","< 3","45-70","<1000",1
"213","7157-SMCFK","Male","No","No","Yes",61,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.75,1124.2,"No","60+","15-30","1000-2000",0
"214","4709-LKHYG","Female","No","Yes","Yes",29,"Yes","No","No","No","No","No","No","No","No","One year","No","Electronic check",20,540.05,"No","25-60","15-30","<1000",0
"215","2504-DSHIH","Male","Yes","Yes","No",23,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",86.8,1975.85,"No","19-24","80-95","1000-2000",0
"219","2040-LDIWQ","Male","No","Yes","Yes",65,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",84.2,5324.5,"No","60+","80-95","4000-6000",0
"220","6496-JDSSB","Female","No","No","No",8,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",80,624.6,"No","7-11","70-80","<1000",0
"221","9408-SSNVZ","Female","No","No","No",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.15,268.35,"Yes","3-6","70-80","<1000",1
"222","4443-EMBNA","Female","No","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",24.75,1836.9,"No","60+","15-30","1000-2000",0
"223","6469-MRVET","Male","No","Yes","Yes",1,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Electronic check",20.2,20.2,"No","< 3","15-30","<1000",0
"224","0742-MOABM","Male","No","Yes","No",4,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",50.05,179.35,"Yes","3-6","45-70","<1000",1
"225","5961-VUSRV","Female","No","No","No",12,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Bank transfer (automatic)",19.35,219.35,"No","12-18","15-30","<1000",0
"227","6341-JVQGF","Female","No","Yes","Yes",31,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Mailed check",81.15,2545.75,"No","25-60","80-95","2000-4000",0
"228","2232-DMLXU","Female","No","Yes","No",1,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",55.2,55.2,"Yes","< 3","45-70","<1000",1
"229","4811-JBUVU","Male","No","No","No",30,"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",89.9,2723.15,"No","25-60","80-95","2000-4000",0
"230","0945-TSONX","Female","No","Yes","Yes",47,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",85.3,4107.25,"No","25-60","80-95","4000-6000",0
"231","2651-ZCBXV","Male","No","No","No",54,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",108,5760.65,"No","25-60","95+","4000-6000",0
"232","3316-UWXUY","Male","No","No","No",50,"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",93.5,4747.5,"No","25-60","80-95","4000-6000",0
"233","8937-RDTHP","Male","No","No","No",1,"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",84.6,84.6,"Yes","< 3","80-95","<1000",1
"234","7083-MIOPC","Female","No","No","No",72,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",20.25,1566.9,"No","60+","15-30","1000-2000",0
"235","1984-GPTEH","Female","No","No","No",29,"Yes","Yes","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",25.15,702,"No","25-60","15-30","<1000",0
"236","1251-KRREG","Male","No","No","No",2,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",54.4,114.1,"Yes","< 3","45-70","<1000",1
"238","9903-LYSAB","Male","No","Yes","No",18,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.15,1305.95,"No","12-18","70-80","1000-2000",0
"239","0094-OIFMO","Female","Yes","No","No",11,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95,1120.3,"Yes","7-11","80-95","1000-2000",1
"240","9227-UAQFT","Male","No","No","No",16,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.75,284.35,"No","12-18","15-30","<1000",0
"241","7301-ABVAD","Female","No","No","No",72,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",86.6,6350.5,"No","60+","80-95","6000+",0
"242","6614-FHDBO","Male","No","No","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",109.2,7878.3,"No","60+","95+","6000+",0
"243","7576-ASEJU","Female","No","Yes","Yes",41,"Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",74.7,3187.65,"No","25-60","70-80","2000-4000",0
"244","9058-HRZSV","Female","Yes","Yes","No",65,"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","Month-to-month","No","Electronic check",94.4,6126.15,"No","60+","80-95","6000+",0
"245","4522-AKYLR","Female","Yes","No","No",13,"Yes","No","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",54.8,731.3,"No","12-18","45-70","<1000",0
"246","0221-WMXNQ","Male","Yes","No","No",4,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",75.35,273.4,"No","3-6","70-80","<1000",0
"247","0303-UNCIP","Male","No","No","No",41,"Yes","Yes","DSL","No","No","Yes","No","No","Yes","One year","No","Mailed check",65,2531.8,"No","25-60","45-70","2000-4000",0
"248","9947-OTFQU","Male","Yes","No","No",15,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,1074.3,"Yes","12-18","70-80","1000-2000",1
"249","0322-YINQP","Male","No","No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",48.55,48.55,"Yes","< 3","45-70","<1000",1
"250","0959-WHOKV","Male","No","No","No",42,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","Yes","Electronic check",99,4298.45,"No","25-60","95+","4000-6000",0
"251","4075-JFPGR","Female","No","Yes","No",51,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","No","One year","Yes","Electronic check",93.5,4619.55,"No","25-60","80-95","4000-6000",0
"252","4629-NRXKX","Female","No","Yes","Yes",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.4,147.15,"Yes","< 3","70-80","<1000",1
"254","3282-ZISZV","Male","No","No","Yes",32,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",83.7,2633.3,"No","25-60","80-95","2000-4000",0
"255","3675-YDUPJ","Male","No","No","No",10,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",19.85,193.05,"No","7-11","15-30","<1000",0
"257","7017-VFHAY","Female","No","Yes","Yes",61,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",115.1,7008.15,"No","60+","95+","6000+",0
"258","6655-LHBYW","Male","No","No","No",50,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",114.35,5791.1,"No","25-60","95+","4000-6000",0
"259","4959-JOSRX","Female","No","Yes","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",44.6,80.55,"Yes","< 3","30-45","<1000",1
"262","3606-TWKGI","Male","Yes","No","No",13,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.9,1364.3,"Yes","12-18","95+","1000-2000",1
"263","7529-ZDFXI","Male","Yes","Yes","No",57,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",89.85,4925.35,"No","25-60","80-95","4000-6000",0
"265","1950-KSVVJ","Female","No","Yes","No",45,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Mailed check",113.3,5032.25,"No","25-60","95+","4000-6000",0
"266","0123-CRBRT","Female","No","Yes","Yes",61,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",88.1,5526.75,"No","60+","80-95","4000-6000",0
"267","6292-TOSSS","Male","No","No","No",50,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",24.9,1195.25,"No","25-60","15-30","1000-2000",0
"268","3197-ARFOY","Female","Yes","No","No",19,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",105,2007.25,"No","19-24","95+","2000-4000",0
"269","6323-AYBRX","Male","No","No","No",59,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.35,1099.6,"Yes","25-60","15-30","1000-2000",1
"270","7014-ZZXAW","Female","No","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",24.25,1732.95,"No","60+","15-30","1000-2000",0
"271","4385-GZQXV","Female","Yes","No","No",16,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",94.45,1511.2,"Yes","12-18","80-95","1000-2000",1
"272","7633-MVPUY","Male","No","Yes","No",57,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Electronic check",59.75,3450.15,"No","25-60","45-70","2000-4000",0
"274","4716-HHKQH","Male","Yes","Yes","No",20,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","No","Electronic check",107.05,2172.05,"No","19-24","95+","2000-4000",0
"275","5940-AHUHD","Male","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",70.6,70.6,"Yes","< 3","70-80","<1000",1
